activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
active,7018430,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2nc3cccc(OC)c3nc2c1,,,CHEMBL1201862,,,,CHEMBL1401841,,CHEMBL1401841,,0,http://www.openphacts.org/units/Nanomolar,1128177,>,7,1,>,,IC50,nM,,100000.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,100.0
active,7018431,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,,,CHEMBL1201862,,,,CHEMBL1608853,,CHEMBL1608853,,0,http://www.openphacts.org/units/Nanomolar,1125996,,7,1,,,IC50,nM,,12310.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,12.31
active,7018432,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCC(=O)N1CCOCC1,,,CHEMBL1201862,,,,CHEMBL1429799,,CHEMBL1429799,,0,http://www.openphacts.org/units/Nanomolar,1020363,>,7,1,>,,IC50,nM,,100000.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,100.0
active,7018433,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,,,CHEMBL1201862,,,,CHEMBL246446,,CHEMBL246446,,0,http://www.openphacts.org/units/Nanomolar,1107548,,7,1,,,IC50,nM,,50970.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,50.97
active,7018434,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3n2C)c(Cl)c1=O,,,CHEMBL1201862,,,,CHEMBL1383455,,CHEMBL1383455,,0,http://www.openphacts.org/units/Nanomolar,1037080,>,7,1,>,,IC50,nM,,100000.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,100.0
active,7018435,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],,,CHEMBL1201862,,,,CHEMBL1485159,,CHEMBL1622128,,0,http://www.openphacts.org/units/Nanomolar,1211914,,7,1,,,IC50,nM,,18640.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,18.64
active,7018436,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,C=CCOc1c(Br)cc(/C=C2/C(=O)ON=C2C)cc1OC,,,CHEMBL1201862,,,,CHEMBL1383611,,CHEMBL1383611,,0,http://www.openphacts.org/units/Nanomolar,1215225,>,7,1,>,,IC50,nM,,100000.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,100.0
active,7018437,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,,,CHEMBL1201862,,,,CHEMBL1730401,,CHEMBL1730401,,0,http://www.openphacts.org/units/Nanomolar,1387055,,7,1,,,IC50,nM,,42740.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,42.74
active,7018438,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,,,CHEMBL1201862,,,,CHEMBL1440986,,CHEMBL1440986,,0,http://www.openphacts.org/units/Nanomolar,1205281,,7,1,,,IC50,nM,,54900.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,54.9
active,7018439,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,CCOc1cc(/C=N/NC2=NC(=O)C(CC(=O)O)S2)ccc1OCc1ccc(Cl)cc1,,,CHEMBL1201862,,,,CHEMBL3194058,,CHEMBL3194058,,0,http://www.openphacts.org/units/Nanomolar,1125741,,7,1,,,IC50,nM,,47940.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,47.94
active,7018440,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=c1c(O)cccc2cc(O)c(O)c(O)c12,,,CHEMBL1201862,,,,CHEMBL66953,PURPUROGALLIN,CHEMBL66953,,0,http://www.openphacts.org/units/Nanomolar,1147316,,7,1,,,IC50,nM,,12190.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,12.19
active,7018441,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)c1ccc(N2NC(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)C2=O)cc1,,,CHEMBL1201862,,,,CHEMBL1586109,,CHEMBL1586109,,0,http://www.openphacts.org/units/Nanomolar,1212107,,7,1,,,IC50,nM,,46630.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,46.63
active,7018442,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,,,CHEMBL1201862,,,,CHEMBL3194143,,CHEMBL3194143,,0,http://www.openphacts.org/units/Nanomolar,1148812,,7,1,,,IC50,nM,,51520.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,51.52
active,7018443,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,,,CHEMBL1201862,,,,CHEMBL1318358,,CHEMBL1318358,,0,http://www.openphacts.org/units/Nanomolar,1296694,,7,1,,,IC50,nM,,35330.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,35.33
active,7018444,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,,,CHEMBL1201862,,,,CHEMBL1373390,,CHEMBL1373390,,0,http://www.openphacts.org/units/Nanomolar,1146293,>,7,1,>,,IC50,nM,,100000.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,100.0
active,7018445,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,,,CHEMBL1201862,,,,CHEMBL173530,STICTIC ACID,CHEMBL173530,,0,http://www.openphacts.org/units/Nanomolar,1139350,,7,1,,,IC50,nM,,71170.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,71.17
active,7018446,[],CHEMBL1794550,"PUBCHEM_BIOASSAY: Primary and Confirmatory Screening for Flavivirus Genomic Capping Enzyme Inhibition. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588708, AID588742]",F,,,BAO_0000190,BAO_0000019,assay format,CC(=C\c1ccccc1)/C=C1/SC(=S)N(C(C(=O)O)C(C)C)C1=O,,,CHEMBL1201862,,,,CHEMBL1310601,,CHEMBL1310601,,0,http://www.openphacts.org/units/Nanomolar,1119523,,7,1,,,IC50,nM,,34090.0,CHEMBL5980,Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2),Dengue virus type 2 NS3 protein,31634,,,IC50,uM,UO_0000065,,34.09
